,0,1,2,3
319,0,2,1,0
320,1,2,0,0
321,1,1,1,0
322,0,1,1,1
323,2,1,0,0
324,0,2,1,0
325,0,1,1,1
326,1,1,1,0
327,2,1,0,0
328,1,0,2,0
329,1,1,0,1
330,1,1,1,0
331,1,2,0,0
332,2,1,0,0
333,2,1,0,0
334,1,2,0,0
335,2,1,0,0
336,1,1,1,0
337,1,2,0,0
338,1,2,0,0
339,2,1,0,0
340,1,2,0,0
341,2,0,1,0
342,1,1,1,0
343,1,2,0,0
344,1,1,1,0
345,1,2,0,0
346,2,1,0,0
347,2,1,0,0
348,0,3,0,0
349,2,1,0,0
350,2,1,0,0
351,1,0,2,0
352,1,2,0,0
353,1,1,0,1
354,1,1,1,0
355,2,1,0,0
356,1,2,0,0
357,3,0,0,0
358,2,0,1,0
359,0,2,1,0
360,0,2,1,0
361,1,2,0,0
362,1,2,0,0
363,3,0,0,0
364,3,0,0,0
365,2,0,1,0
366,1,2,0,0
367,2,1,0,0
368,1,2,0,0
369,2,0,1,0
370,3,0,0,0
371,2,0,1,0
372,2,0,1,0
373,1,2,0,0
374,2,1,0,0
375,2,1,0,0
376,2,0,1,0
377,2,1,0,0
378,1,2,0,0
379,3,0,0,0
380,0,3,0,0
381,1,2,0,0
382,1,2,0,0
383,2,0,1,0
384,0,2,1,0
385,1,2,0,0
386,1,2,0,0
387,3,0,0,0
388,3,0,0,0
389,1,0,2,0
390,1,1,0,1
391,1,1,1,0
392,1,2,0,0
393,1,2,0,0
394,1,1,1,0
395,3,0,0,0
396,2,1,0,0
397,2,1,0,0
398,1,1,1,0
399,0,2,1,0
400,2,0,1,0
401,0,3,0,0
402,1,2,0,0
403,1,1,1,0
404,3,0,0,0
405,2,1,0,0
406,1,1,1,0
407,0,3,0,0
408,2,1,0,0
409,1,2,0,0
410,0,2,1,0
411,2,0,1,0
412,1,2,0,0
413,2,1,0,0
414,2,1,0,0
415,1,2,0,0
416,3,0,0,0
417,1,2,0,0
418,1,1,1,0
419,1,1,0,1
420,0,3,0,0
421,1,1,1,0
422,1,2,0,0
423,1,1,1,0
424,2,1,0,0
425,2,1,0,0
426,3,0,0,0
427,1,2,0,0
428,2,1,0,0
429,0,3,0,0
430,1,0,2,0
431,3,0,0,0
432,1,1,1,0
433,1,1,1,0
434,2,1,0,0
435,1,2,0,0
436,1,1,1,0
437,1,1,1,0
438,1,2,0,0
439,1,1,1,0
440,1,1,1,0
441,1,2,0,0
442,2,0,1,0
443,0,2,1,0
444,0,2,0,1
445,1,2,0,0
446,3,0,0,0
447,1,2,0,0
448,1,1,1,0
449,2,1,0,0
450,1,2,0,0
451,1,2,0,0
452,1,1,0,1
453,2,0,1,0
454,1,2,0,0
455,1,2,0,0
456,2,1,0,0
457,2,1,0,0
458,1,1,1,0
459,1,1,1,0
460,1,2,0,0
461,2,1,0,0
462,1,2,0,0
463,2,1,0,0
464,3,0,0,0
465,1,1,1,0
466,2,0,1,0
467,2,1,0,0
468,0,3,0,0
469,2,1,0,0
470,2,1,0,0
471,1,1,1,0
472,2,1,0,0
