user_id,created_at,description,location,followers_count,screen_name,statuses_count,favourites_count,verified
1508197172080222214,Sun Mar 27 21:41:16 +0000 2022,Thoughtful,,0,luzbaez628,31,3,False
1477370850147983367,Sat Jan 01 20:07:25 +0000 2022,Everything I do is done with fabulosiT.,,74,fabulosi_t,5111,5524,False
1477370850147983367,Sat Jan 01 20:07:25 +0000 2022,Everything I do is done with fabulosiT.,,74,fabulosi_t,5111,5524,False
39352523,Mon May 11 21:54:15 +0000 2009,meep morp,"Charlotte, NC",321,BroRo117,8579,39738,False
797937445,Sun Sep 02 09:53:55 +0000 2012,,,3,johnnieg98,3,61,False
67606504,Fri Aug 21 13:28:53 +0000 2009,"Nature lover, hiker, policy wonk, food nerd, New Yorker.","Hudson Valley, NY",236,sarah_brannen,372,55,False
1337102876536164352,Thu Dec 10 18:32:36 +0000 2020,,,0,Dennis53986254,196,63,False
1598722463357145090,Fri Dec 02 16:55:24 +0000 2022,,,0,Joey2Cards,7,13,False
1587442274283175937,Tue Nov 01 13:52:29 +0000 2022,,,7,jwluca1,849,639,False
192137630,Sat Sep 18 08:36:31 +0000 2010,fiscally conservative socially liberal,,28,dicmember,678,909,False
603018636,Fri Jun 08 17:44:41 +0000 2012,,Florida,14,FlamelessFondue,176,342,False
1598397899293216769,Thu Dec 01 19:25:45 +0000 2022,,,8,JohnJAmo6,202,19,False
1511381345100042241,Tue Apr 05 16:33:33 +0000 2022,"Artist, gun enthusiast, freedom of speech advocate.",,6,JoeHarr86346652,1449,35,False
1524404516279488513,Wed May 11 15:02:22 +0000 2022,Funny,,4,otispky,534,514,False
1519815084956176386,Thu Apr 28 23:05:47 +0000 2022,Making liberals look stupid since 1987,,12,RonHondo68,962,232,False
1450291753504940040,Tue Oct 19 02:44:59 +0000 2021,"Passionate, self motivated, loving mom #NWBO","Manchester, NH",20,WoitkowskiK,156,375,False
1598809173592088585,Fri Dec 02 22:40:11 +0000 2022,,,3,Andersonj2273,34,166,False
1586198800586395649,Sat Oct 29 03:30:58 +0000 2022,,"Bellingham, WA",0,DHerschlip,64,37,False
1585795943508606977,Fri Oct 28 00:50:11 +0000 2022,Gotta enjoy Life while you got it!,,132,RogerWPetersen1,1575,566,False
1578001025121882113,Thu Oct 06 12:36:02 +0000 2022,,,37,JacquesF68t1,163,101,False
751193283842506752,Thu Jul 07 23:16:50 +0000 2016,,"Gladwin, MI",10,guaranteedconst,671,189,False
1221983792774238211,Tue Jan 28 02:30:49 +0000 2020,,,19,Ted8675309,8860,6756,False
1467525068024651778,Sun Dec 05 16:04:15 +0000 2021,A loving mom.,,1,AspyreAspyre4,1417,6,False
1467233350423236609,Sat Dec 04 20:44:52 +0000 2021,,,15,FishNBobM,601,612,False
935479190,Thu Nov 08 21:30:38 +0000 2012,Real Estate Broker Associate at RE/MAX Trinity. Serving the Ft. Worth & surrounding areas!,"Fort Worth, TX",225,CathyWestRealty,1069,61,False
1578454406634373123,Fri Oct 07 18:37:55 +0000 2022,,,5,DianeTa14633279,358,51,False
1498357803706200069,Mon Feb 28 18:02:19 +0000 2022,Goat farmer,,31,hstantiques,334,1509,False
1511393246446071816,Tue Apr 05 17:21:27 +0000 2022,Retitled RN labor and Delivery,,20,roseykidd43,1296,4377,False
1586531117988978690,Sun Oct 30 01:31:59 +0000 2022,,,3,quiksilvrgrl,887,343,False
94876211,Sat Dec 05 21:55:44 +0000 2009,,"Jasper, AL",121,jeffsparks58,4484,499,False
1598816800413736960,Fri Dec 02 23:10:20 +0000 2022,,,0,jyenah990,149,82,False
1586348271538151424,Sat Oct 29 13:24:47 +0000 2022,,,5,JohnGromkoski,14,68,False
1596152193144463361,Fri Nov 25 14:42:48 +0000 2022,,,12,Forevertrue10,724,1064,False
1511352381837041671,Tue Apr 05 14:38:00 +0000 2022,We are all Human First! Opinions welcome hear. Think Outside the Box!     No BlueSmoke and Mirrors.,,2,d1drumer,174,207,False
1589821144261083136,Tue Nov 08 03:24:55 +0000 2022,,,4,buldawg1971,76,14,False
1596877123389722624,Sun Nov 27 14:42:46 +0000 2022,,,6,gman4133,57,71,False
1587186900833472512,Mon Oct 31 20:57:53 +0000 2022,Mother of 3; Grandmother of 6,"Gilbert, AZ",64,Ev06580205Evans,417,802,False
248349283,Sun Feb 06 20:23:54 +0000 2011,"SADLY, WE LOST A TRUE PATRIOT WHO LOVED THE USA.🇺🇲 🇺🇲 MAGA FOREVER!!  OH YEAH...ROLL TIDE ROLL!! 🐘🅰️",,2841,BAMAJOE4,76538,11839,False
1585798758285164545,Fri Oct 28 01:01:14 +0000 2022,"Retired military, Retired VA, Father, Husband","Chicago, IL",1,MichaelDuzenski,302,474,False
1580683819669135385,Thu Oct 13 22:17:39 +0000 2022,,,27,CynthiaCindyLu1,1227,4078,False
1555622606602227713,Fri Aug 05 18:32:19 +0000 2022,Retired,,0,doubletap223HP,12,47,False
1507683641538891781,Sat Mar 26 11:39:42 +0000 2022,,,54,margirbarber,2103,12752,False
2779304716,Sun Sep 21 18:19:40 +0000 2014,,,0,stregg01,21,2,False
255071196,Sun Feb 20 16:23:14 +0000 2011,I rap with people ALL over Michigan and the USA. Sharing my thoughts.,Michigan,222,PWFelch,3837,698,False
1585701179501297665,Thu Oct 27 18:33:49 +0000 2022,,,3,JonRB12,117,363,False
1490193862941368320,Sun Feb 06 05:21:33 +0000 2022,,"Fredericksburg, TX",2,seachickens70,710,80,False
1590054762183106561,Tue Nov 08 18:53:17 +0000 2022,,,40,tinnasVlogsE13,817,1220,False
874712237063249920,Tue Jun 13 19:37:03 +0000 2017,"Irish-Catholic, cinephile, avid reader, retired, and crazy about my wife 🇮🇪☘️",,182,mccray12_mac,14282,3952,False
1519066528783736833,Tue Apr 26 21:31:16 +0000 2022,,,2,dinotankerM60A1,286,202,False
1549759694545321985,Wed Jul 20 14:14:59 +0000 2022,Work in financial services. Mom of amazing son,,2,F45Harry,608,10,False
604726557,Sun Jun 10 16:29:58 +0000 2012,Veteran,,120,gacnmac,7651,9691,False
1583777792872914944,Sat Oct 22 11:10:54 +0000 2022,,,2,doctornickz,67,2,False
1585969548733431808,Fri Oct 28 12:22:05 +0000 2022,,"Marietta, GA",0,Notscaredpissed,19,6,False
986685548612980736,Wed Apr 18 19:19:01 +0000 2018,Grandparent. God centered. Law and Order. Constitutionalist. Liberty. Republic. Honor. First Responders. Veterans First. Blessed to live in USA,,827,Flyonth85407338,30290,12303,False
1586566138271506432,Sun Oct 30 03:50:46 +0000 2022,,,1,jasonmf7777,37,40,False
1330690595485081608,Mon Nov 23 01:52:26 +0000 2020,𝘵𝘳𝘢𝘥𝘦 𝘵𝘩𝘦 𝘯𝘰𝘪𝘴𝘦. 𝘱𝘦𝘳 𝘢𝘴𝘱𝘦𝘳𝘢 𝘢𝘥 𝘢𝘴𝘵𝘳𝘢.,,61,durivatives,1045,9554,False
727596258,Tue Jul 31 04:55:14 +0000 2012,Common Sense Politics. You reap what you sow.,in your head,129,twdjr,15503,15311,False
297233399,Thu May 12 05:06:33 +0000 2011,,,43,NotNotBill,1851,1209,False
1588456187426533376,Fri Nov 04 09:01:22 +0000 2022,Please help me prove I am Twitter’s Greatest Hypnotist. 🍭🍭🍭🍭Click on Follow🍭🍭🍭🍭🍥🍥🍥🍥🍥🍥🍥🍥🍥🍥🍥🍥🍥You will click on follow…click on follow…follow,USA,3,unobtaniums,114,86,False
1588896148319764487,Sat Nov 05 14:09:21 +0000 2022,,,37,BlakeFain7,66,1388,False
2790922476,Fri Sep 05 01:47:02 +0000 2014,Retired Department of Navy Physical Scientist/Hydrogeologist,Texas Hill Country ,10,jimw20104,403,324,False
1587576328236273675,Tue Nov 01 22:45:30 +0000 2022,,,14,eknesocmjk,130,1160,False
