user_id,created_at,description,location,followers_count,screen_name,statuses_count,favourites_count,verified
39352523,Mon May 11 21:54:15 +0000 2009,meep morp,"Charlotte, NC",321,BroRo117,8579,39741,False
67606504,Fri Aug 21 13:28:53 +0000 2009,"Nature lover, hiker, policy wonk, food nerd, New Yorker.","Hudson Valley, NY",236,sarah_brannen,372,55,False
1598722463357145090,Fri Dec 02 16:55:24 +0000 2022,,,0,Joey2Cards,7,13,False
1587442274283175937,Tue Nov 01 13:52:29 +0000 2022,,,7,jwluca1,847,638,False
192137630,Sat Sep 18 08:36:31 +0000 2010,fiscally conservative socially liberal,,29,dicmember,678,909,False
603018636,Fri Jun 08 17:44:41 +0000 2012,,Florida,14,FlamelessFondue,176,342,False
1586198800586395649,Sat Oct 29 03:30:58 +0000 2022,,"Bellingham, WA",0,DHerschlip,62,37,False
1221983792774238211,Tue Jan 28 02:30:49 +0000 2020,,,19,Ted8675309,8859,6756,False
1467525068024651778,Sun Dec 05 16:04:15 +0000 2021,A loving mom.,,1,AspyreAspyre4,1417,6,False
94876211,Sat Dec 05 21:55:44 +0000 2009,,"Jasper, AL",121,jeffsparks58,4484,499,False
1598816800413736960,Fri Dec 02 23:10:20 +0000 2022,,,0,jyenah990,149,82,False
1511352381837041671,Tue Apr 05 14:38:00 +0000 2022,We are all Human First! Opinions welcome hear. Think Outside the Box!     No BlueSmoke and Mirrors.,,2,d1drumer,174,206,False
1589821144261083136,Tue Nov 08 03:24:55 +0000 2022,,,4,buldawg1971,76,14,False
1596877123389722624,Sun Nov 27 14:42:46 +0000 2022,,,6,gman4133,57,71,False
1587186900833472512,Mon Oct 31 20:57:53 +0000 2022,Mother of 3; Grandmother of 6,"Gilbert, AZ",64,Ev06580205Evans,417,802,False
248349283,Sun Feb 06 20:23:54 +0000 2011,"SADLY, WE LOST A TRUE PATRIOT WHO LOVED THE USA.🇺🇲 🇺🇲 MAGA FOREVER!!  OH YEAH...ROLL TIDE ROLL!! 🐘🅰️",,2841,BAMAJOE4,76533,11839,False
1555622606602227713,Fri Aug 05 18:32:19 +0000 2022,Retired,,0,doubletap223HP,12,47,False
1507683641538891781,Sat Mar 26 11:39:42 +0000 2022,,,54,margirbarber,2103,12752,False
2779304716,Sun Sep 21 18:19:40 +0000 2014,,,0,stregg01,21,2,False
255071196,Sun Feb 20 16:23:14 +0000 2011,I rap with people ALL over Michigan and the USA. Sharing my thoughts.,Michigan,222,PWFelch,3835,696,False
1585701179501297665,Thu Oct 27 18:33:49 +0000 2022,,,3,JonRB12,116,363,False
1549759694545321985,Wed Jul 20 14:14:59 +0000 2022,Work in financial services. Mom of amazing son,,2,F45Harry,607,10,False
604726557,Sun Jun 10 16:29:58 +0000 2012,Veteran,,120,gacnmac,7651,9691,False
1585969548733431808,Fri Oct 28 12:22:05 +0000 2022,,"Marietta, GA",0,Notscaredpissed,19,6,False
1586566138271506432,Sun Oct 30 03:50:46 +0000 2022,,,1,jasonmf7777,37,40,False
1330690595485081608,Mon Nov 23 01:52:26 +0000 2020,𝘵𝘳𝘢𝘥𝘦 𝘵𝘩𝘦 𝘯𝘰𝘪𝘴𝘦. 𝘱𝘦𝘳 𝘢𝘴𝘱𝘦𝘳𝘢 𝘢𝘥 𝘢𝘴𝘵𝘳𝘢.,,61,durivatives,1045,9553,False
727596258,Tue Jul 31 04:55:14 +0000 2012,Common Sense Politics. You reap what you sow.,in your head,129,twdjr,15503,15308,False
2790922476,Fri Sep 05 01:47:02 +0000 2014,Retired Department of Navy Physical Scientist/Hydrogeologist,Texas Hill Country ,10,jimw20104,403,324,False
1587576328236273675,Tue Nov 01 22:45:30 +0000 2022,,,14,eknesocmjk,130,1159,False
1472622967322562576,Sun Dec 19 17:41:00 +0000 2021,,"Lake Forest, IL",113,KiserRod,711,532,False
1549778070760001544,Wed Jul 20 15:28:03 +0000 2022,,,17,Mackeym49055503,2734,485,False
1586873335174029312,Mon Oct 31 00:11:30 +0000 2022,"Dogs are awesome, MAGA to the core, Follower of Christ","Chicago, IL",18,James59225185,312,833,False
1598487395988561922,Fri Dec 02 01:23:47 +0000 2022,,,6,GregMilne19,36,84,False
1523455648360538112,Mon May 09 00:12:12 +0000 2022,,,28,ChrisSt61561486,13347,3553,False
2334438835,Sun Feb 09 03:02:15 +0000 2014,,,26,blandawn,1776,5886,False
1587128533637283840,Mon Oct 31 17:05:26 +0000 2022,"US Army (Ret). Jesus Christ, Family, Football GS-GATA, Physical Fitness, Hard Work and the Great Outdoors. Peace Through Strength. Philippians 4:13","Treutlen County, Georgia",23,Scooter_D_48,89,600,False
1487065647943061507,Fri Jan 28 14:11:22 +0000 2022,,"Fresno, CA",13,WagonerLonnie,123,395,False
1884435228,Thu Sep 19 21:36:47 +0000 2013,,,1,ctrover12,971,8,False
329298596,Mon Jul 04 21:05:56 +0000 2011,,,20,thekidx6,8704,2500,False
1158793185113575428,Tue Aug 06 17:33:19 +0000 2019,"We are the dogs fighting to the death, and twitter is the ring owner charging advertisers to watch","Georgia, USA",39,MindPublic,3975,2914,False
309165457,Wed Jun 01 16:55:49 +0000 2011,Free speech is my right to say what you don't want to hear,"Denver, Colorado",2012,vekkpakk,6596,6,False
1550207783814979590,Thu Jul 21 19:56:10 +0000 2022,"Musician, retired psychotherapist, family man, soldier",,49,Louis05668151,999,129,False
63555364,Thu Aug 06 22:08:27 +0000 2009,Somebody's dad and son,Maryland,82,tchanta,12142,2765,False
1527255367188680710,Thu May 19 11:51:00 +0000 2022,,,0,KCX04048599,25,4,False
1374504221203070979,Tue Mar 23 23:32:23 +0000 2021,"I don't care, do you. Not a Bot. I dont want followers, Im not Jesus. Just a person with opinions in a world where you can be canceled for having free thought.",The greatest Country: U.S.A.,112,eyedontcaredoy1,2054,1679,False
1519492811049086976,Thu Apr 28 01:45:17 +0000 2022,,,93,GordonPiszar,351,709,False
1587871242534658052,Wed Nov 02 18:17:03 +0000 2022,Maga patriot --🇺🇸🇺🇸🇺🇸 --Ohio State Buckeyes 🏈🏈🏈🏈 Golfer🏌️‍♂️🏌️‍♂️⛳⛳⛳,"Ohio, USA",444,Kenosabe1969,1558,1056,False
1519131688500142081,Wed Apr 27 01:50:27 +0000 2022,,,8,TommySc20346014,674,1211,False
130522971,Wed Apr 07 14:50:39 +0000 2010,Retired and traveling...,"The Bronx, NY, USA",27,Nylsa17,13562,1072,False
322948663,Fri Jun 24 00:47:13 +0000 2011,"Semi Retired, nervous about the future of our country, mostly for our children and grandchildren. Our country needs to get back to good old fashioned values.","Show Low,  AZ",34,Kate2011Kate,1165,95,False
833259260498702336,Sun Feb 19 10:17:43 +0000 2017,,By By,4,manfromuncle422,182,15,False
1459641491161239552,Sat Nov 13 21:57:29 +0000 2021,Your outrage is not real. You didn’t care until you were told to. Activism is a way for the useless to feel important.,,23,ItsAnOrangySky,6411,1461,False
1053022427804983296,Thu Oct 18 20:38:05 +0000 2018,"44 years Law enforcement,  11 k9/Swat and 33 years Detective.","Virginia, USA",3,GaryDayton4,415,627,False
1591553206110273537,Sat Nov 12 22:07:41 +0000 2022,,,2,BruceThom9,12,7,False
1546480986090680323,Mon Jul 11 13:06:35 +0000 2022,ALWAYS checking the truth in every persons WORDS and ACTIONS on their network comments. I LOVE it when they cannot respond with TRUE facts!,,24,tonyfailrocket1,487,286,False
1598685310644154368,Fri Dec 02 14:29:10 +0000 2022,,,0,CocoEN1010,30,14,False
1198312804614365186,Sat Nov 23 18:50:18 +0000 2019,Married Christian woman retired. Trump Supporter! I  honor and respect all armed forces.  Thank you to all armed forces and Police.   Trump Won,,476,April99254098,5455,6789,False
1311185396,Thu Mar 28 16:58:36 +0000 2013,"Be fair, have faith & balance this faith fun.",,9,TBattiss,1010,3388,False
19323269,Thu Jan 22 03:14:48 +0000 2009,;ove all there products use it espcially on feet and nails so nice to use only one product that works,Ohio,95,peachy62,7106,47,False
1594926774042836992,Tue Nov 22 05:33:03 +0000 2022,,,0,AButyl6,68,82,False
109472756,Fri Jan 29 04:44:23 +0000 2010,"Servant of Jesus.  Father.  Pastor.  Former Brass Player (Tuba, Trombone, Euphonium).  St. Louis Cardinals Baseball Fan, motorcyclist #Tuba #Trombone #Bass","Leadwood, MO",354,BrassPlayer2014,7885,31369,False
1588507882714284032,Fri Nov 04 12:28:04 +0000 2022,,,1,PaulFogt,329,217,False
1593103951456391170,Thu Nov 17 04:49:33 +0000 2022,,,0,RockerchicVal,28,28,False
2730106369,Wed Aug 13 18:51:05 +0000 2014,I am a dreamer...a seeker of truth.. a singer song writer...,,36,starahv1,7234,3720,False
1588341434142392321,Fri Nov 04 01:25:42 +0000 2022,RadarMP,,0,DeborahCales890,18,90,False
125069088,Sun Mar 21 15:38:27 +0000 2010,Economics. Mississippi State. Jiu Jitsu.  Married to @lyradnoel,"Franklin, TN USA",515,AdamVassGal,10571,2957,False
1563904151184097282,Sun Aug 28 14:59:55 +0000 2022,"Our Custom glitter gel has a puzzle piece, a signature for my daughter. She is nonverbal autistic. We hope to raise awareness of Autism and special needs🧩💕","Ashland, KY",2,LoveHasNoWords2,20,5,False
1562620150527844352,Thu Aug 25 01:58:50 +0000 2022,"University of Cincinnati - Class of 1978. 
Revenue Officer (Retired) Internal Revenue Service.","Chillicothe, OH",2,george21roadru1,18,164,False
949030469546512386,Thu Jan 04 21:31:10 +0000 2018,"South Jersey born,raised, love the Phillies, ret USAF, ret Baccarat Dealer,  ret DJ, Gloucester Cath HS 77 Grad, now Smokey Mtns",Earth,84,Scottmaier221,1840,2003,False
1476671121957265419,Thu Dec 30 21:47:17 +0000 2021,,,5,dhbanker54,156,578,False
1586492758327435264,Sat Oct 29 22:59:07 +0000 2022,,,1,EvaFran41752781,1,5,False
42931231,Wed May 27 17:31:41 +0000 2009,I am me an you just take me for who I am or dont...life is to short to worry what others think of me....😎💚🍀,,16,owllover61,322,278,False
790211929654435842,Sun Oct 23 15:23:00 +0000 2016,Creative Collaborator,"Albuquerque, NM",140,kellicooperabq,441,394,False
1486690257156386819,Thu Jan 27 13:19:51 +0000 2022,,Stankonia,1,TonyRazzberry,263,186,False
958130507920887810,Tue Jan 30 00:11:29 +0000 2018,,,12,TMOATTS1,1772,5422,False
1476111562545012737,Wed Dec 29 08:43:31 +0000 2021,,,1,flader_james,39,16,False
1587484863942254594,Tue Nov 01 16:42:22 +0000 2022,,,1,kimgoslin1,2,13,False
1430418360278208516,Wed Aug 25 06:35:33 +0000 2021,"PhD from California State University, Los Angeles. 5 yrs Vegan, Animal Lover.","Los Angeles, CA",109,KirstinKristina,3065,2264,False
1519310786061029378,Wed Apr 27 13:42:16 +0000 2022,"Salty Ol Southern Mi Mi who was raised in what was the Great Pacific Northwest. Wife , Mother and Mi Mi . I don't accept messages bahahaha.",,2,SaltyOlMiMi,87,216,False
1485060530482130946,Sun Jan 23 01:23:39 +0000 2022,,"Cuyahoga Falls, OH",0,porthioskanan,108,17,False
3060080906,Tue Mar 03 16:02:19 +0000 2015,CTE teacher and FBLA chapter adviser.  Blended family that includes 6 daughters and 6 granddaughters.  Avid reader.  Love to travel.,77407,39,ivydoris6,470,197,False
1586574029988990976,Sun Oct 30 04:22:04 +0000 2022,,,3,David86726614,17,192,False
1869986654,Mon Sep 16 02:36:44 +0000 2013,,,129,WALenyaW,76,59,False
1597805774633304064,Wed Nov 30 04:12:59 +0000 2022,"I am a history enthusiast, author, speaker.  I study religions, governments, media compare, check facts, keep old photos marking places Presidents, VP,s travel.",Grants Licke.  KY,19,KathyMartinHal3,185,465,False
1519361738663247873,Wed Apr 27 17:04:25 +0000 2022,,,9,JasonGi37909786,83,99,False
1594096256275681280,Sat Nov 19 22:32:47 +0000 2022,,,6,WileKelley,356,42,False
1545391050629447681,Fri Jul 08 12:55:30 +0000 2022,,,0,kangiephil,36,119,False
65743095,Fri Aug 14 21:40:25 +0000 2009,,cucina povera,1006,ZioJamesB,12685,23839,False
1164922527895834625,Fri Aug 23 15:29:26 +0000 2019,I am who I am.,,1,JameseMendenha1,17,5,False
1569511469301248003,Tue Sep 13 02:21:44 +0000 2022,,,0,mba_wright,1,0,False
1585808483445882882,Fri Oct 28 01:39:48 +0000 2022,,,2,DarrenOfTexas,181,32,False
1589753958066790400,Mon Nov 07 22:57:45 +0000 2022,"Vice President of Feldman/Mark Wahlberg Automotive (Retired). Former Director of Fixed Operations Sheehy Auto Stores and Hendrick Auto Group, Cary, NC.","Naples, FL",4,gary_letkemann,1,0,False
1165795613566521344,Mon Aug 26 01:18:48 +0000 2019,My opinions are my own,,28,Anthony33760347,9123,2127,False
707286479978926080,Tue Mar 08 19:26:52 +0000 2016,"Native Floridian, Seascapes,Weather & Wildlife Photographer, Storm Tracker/Chaser LIVE coverage representing SVLMedia LLC","Pensacola, FL",166,DJDawkins7,1130,11836,False
1600969620,Wed Jul 17 13:45:13 +0000 2013,,,6,nancyswindle863,34,118,False
1515138915132485637,Sat Apr 16 01:24:38 +0000 2022,"Beth, mom, school social worker
#ssw https://t.co/9cM4igLKR7
https://t.co/C6qGuaAvKR","Michigan, USA",242,Bgm117771,6032,488,False
1207041389185437696,Tue Dec 17 20:54:54 +0000 2019,,,0,TonyShockey6,14,22,False
244990242,Sun Jan 30 16:25:30 +0000 2011,"ummmm well.....I'm a mommy to 3 & I love every second of it! Texas born, Texas raised & Trump supporter. That’s me, I’m not perfect but I damn sure try",Little Cypress Texas,122,cdeshbach,2484,1661,False
1349044312152031232,Tue Jan 12 17:24:24 +0000 2021,Walking,,20,TrudyJo65995505,4420,4004,False
1586046722916196354,Fri Oct 28 17:26:51 +0000 2022,,,5,BertonPrall,190,542,False
1586425413252927488,Sat Oct 29 18:31:35 +0000 2022,,,1,John_Connor13,4,15,False
1459336135856033797,Sat Nov 13 01:56:16 +0000 2021,Hello,,7,Genesis19909,141,856,False
1177626577875689474,Fri Sep 27 16:51:39 +0000 2019,,,2,SinacolaMatt,3,1,False
119987745,Fri Mar 05 04:21:49 +0000 2010,,Brooklyn NY,51,Menabeamer,800,1569,False
1449382672283938816,Sat Oct 16 14:33:24 +0000 2021,,,6,IkertLeonard,58,111,False
2909664742,Sun Dec 07 18:21:06 +0000 2014,I do art things and science things,,25,Carinazon96,93,9502,False
3428254992,Wed Sep 02 18:02:20 +0000 2015,,"Seattle, WA",18,ericcooley23,70,24,False
1313534349711679489,Tue Oct 06 17:40:25 +0000 2020,,,0,cherylforevero1,2,0,False
1457858724991684608,Mon Nov 08 23:53:51 +0000 2021,Pro-mask. Covid is real. LDS convert. #FSHDsociety. #cureFSHD. #disabilityawareness. #neuromuscular.,,14,Alysha1515,165,4201,False
1512104927685799939,Thu Apr 07 16:28:32 +0000 2022,Just trying to make it.,"California, USA",1,Princes92223558,16,68,False
1251012033539198977,Fri Apr 17 04:58:24 +0000 2020,Big heart with a wonderful personality,,0,TwanaWright19,8,3,False
3150224796,Sat Apr 11 19:12:39 +0000 2015,Prior law enforcement,"San Diego, CA",83,stever1552,4010,3108,False
1494776250082250752,Fri Feb 18 20:50:18 +0000 2022,"A politically independent, news junkie, public safety (Fire, EMS, Flight Medic, Emergency Mgmt professional), a pilot & and a retired vet.",,53,rebelpilotmedic,1642,565,False
754084430831030273,Fri Jul 15 22:45:13 +0000 2016,History professor of Middle East and American foreign relations.,"Florida, USA",66,AlexShelby07,883,1384,False
1563181077870841856,Fri Aug 26 15:06:48 +0000 2022,Patriot...Future Podcast project.  More to come...,,29,Gymrat_66,29,3,False
19093928,Sat Jan 17 00:16:35 +0000 2009,,,2,dockthefish,1067,79,False
1594062793023553538,Sat Nov 19 20:20:01 +0000 2022,,,0,JanThurman4,1,0,False
1519354186839773185,Wed Apr 27 16:34:48 +0000 2022,"When you rock, you must roll.
Living in Europe, heart still in America","Vienna, Austria",61,DJB1864,674,1913,False
1515864718832975872,Mon Apr 18 01:28:25 +0000 2022,,,1,Donna825214,6,1,False
1506618924745510918,Wed Mar 23 13:09:12 +0000 2022,,,1,YankeesEagles1,8,0,False
1588687934827397120,Sat Nov 05 00:22:05 +0000 2022,,,1,KristledollRN,10,101,False
2752140503,Wed Aug 27 00:08:27 +0000 2014,,"Phillipsburg, NJ",28,fsmith3665,190,163,False
37491729,Sun May 03 20:17:17 +0000 2009,,"Springfield, MO",15,WaltLyman,28,3,False
1598090837149220871,Wed Nov 30 23:05:29 +0000 2022,,,0,rzwalk,2,2,False
1470523582971199488,Mon Dec 13 22:39:37 +0000 2021,,,0,Patrick56051125,97,5,False
1450011792432934918,Mon Oct 18 08:12:44 +0000 2021,,,1,MaryPat84550117,122,222,False
1392084608,Tue Apr 30 13:33:59 +0000 2013,Paintings/ Commissions available,Moray,373,robmcshane2,3855,542,False
1461378843713941513,Thu Nov 18 17:01:08 +0000 2021,Life long learner and ready for opportunities that come my way,,2,joshua_candella,118,3,False
1467222528502513668,Sat Dec 04 20:01:49 +0000 2021,"I’m a wife, mama and Nana that loves to craft",,75,NanaT_1113,6227,11313,False
1519425250144010243,Wed Apr 27 21:17:41 +0000 2022,"People person,, love children, have complete trust in GOD",,17,Patrici33069557,339,556,False
1500807826737881088,Mon Mar 07 12:17:44 +0000 2022,,"Washington, DC",6,Helloit66232229,79,53,False
1594755452105097218,Mon Nov 21 18:12:01 +0000 2022,,,6,Joycurrent3,491,204,False
1589606894834008064,Mon Nov 07 13:13:30 +0000 2022,"USA. Miami Dolphins, Georgia Bulldogs, Atlanta Braves, and Nashville predators fan. 2nd amendment. Outdoorsman. Inspiring woodworker. Blue line. History buff.",,118,mierholtz64,173,973,False
1596152193144463361,Fri Nov 25 14:42:48 +0000 2022,,,12,Forevertrue10,721,1064,False
1518635454660186113,Mon Apr 25 16:58:16 +0000 2022,,,3,PaulMacMcMaster,11,11,False
1486708533844455431,Thu Jan 27 14:32:37 +0000 2022,I love to knit and listen to music!,,69,LisaKno59815534,1934,2602,False
905108894049021958,Tue Sep 05 16:42:31 +0000 2017,,,2,jamesjanis1963,53,7,False
1572018625300529153,Tue Sep 20 00:24:14 +0000 2022,,,6,ega62351880,17,3,False
1508481139849146373,Mon Mar 28 16:28:46 +0000 2022,An unfiltered take on current events.,,0,PCopposition,59,0,False
998663238,Sun Dec 09 05:59:01 +0000 2012,No,,14,coreydubbs,856,124,False
1518702827551571969,Mon Apr 25 21:26:38 +0000 2022,"God, Family, Traveling!",,2,BVIBOB,34,49,False
1589460142403248132,Mon Nov 07 03:30:15 +0000 2022,,"Tallahassee, FL",0,QweenLadyK,6,27,False
1592207840655147011,Mon Nov 14 17:28:45 +0000 2022,"Retired.  Loving Life.  Motto: Debate, don't hate.  Everyone is entitled to their opinion, even though mine is the right one. :)",Tennessee,0,56Peanuts,18,4,False
1594803644465029122,Mon Nov 21 21:23:25 +0000 2022,"Trump won, Joe is a illegitimate “president”",,44,Tyroneblackems,534,306,False
1045410023223033856,Thu Sep 27 20:29:07 +0000 2018,Gov Officials & Agencies Tech News History History Politics Health,"Cary, NC",8,jackiel56444021,173,448,False
1197152071490920456,Wed Nov 20 13:57:59 +0000 2019,newly discovered furry. this is my fursona account until I'm ready to share with the world!,"Elizabeth, NJ",13,FuzzLightyear3,82,4,False
