,0,1,2,3
0,1,2,0,0
1,2,1,0,0
2,2,0,1,0
3,1,0,1,1
4,0,3,0,0
5,2,0,1,0
6,1,0,1,1
7,1,1,1,0
8,1,1,1,0
9,1,2,0,0
10,3,0,0,0
11,1,1,1,0
12,1,2,0,0
13,2,0,1,0
14,1,0,2,0
15,1,1,0,1
16,0,3,0,0
17,2,0,1,0
18,1,2,0,0
19,1,1,1,0
20,1,1,0,1
21,1,0,1,1
22,2,0,1,0
23,1,2,0,0
24,1,1,1,0
25,3,0,0,0
26,2,0,1,0
27,1,1,1,0
28,2,0,1,0
29,1,2,0,0
30,1,1,0,1
31,2,1,0,0
32,1,1,1,0
33,1,2,0,0
34,0,3,0,0
35,1,1,0,1
36,1,1,0,1
37,3,0,0,0
38,2,1,0,0
39,0,1,2,0
40,0,1,2,0
41,1,2,0,0
42,2,0,1,0
43,1,1,1,0
44,0,3,0,0
45,2,0,1,0
46,2,1,0,0
47,1,2,0,0
48,2,0,1,0
49,0,3,0,0
50,2,1,0,0
51,1,1,1,0
52,0,3,0,0
53,2,1,0,0
54,2,1,0,0
55,3,0,0,0
56,2,0,1,0
57,2,1,0,0
58,1,0,2,0
59,0,1,2,0
60,1,1,1,0
61,0,3,0,0
62,2,0,0,1
63,1,1,1,0
64,2,0,1,0
65,1,1,1,0
66,1,1,1,0
67,1,2,0,0
68,1,2,0,0
69,2,1,0,0
70,0,1,2,0
71,1,2,0,0
72,2,1,0,0
73,1,0,1,1
74,1,1,1,0
75,2,0,1,0
76,1,1,0,1
77,1,0,1,1
78,1,1,1,0
79,1,1,1,0
80,1,0,0,2
81,2,0,1,0
82,0,2,1,0
83,1,1,1,0
84,1,1,1,0
85,0,2,1,0
86,2,1,0,0
87,2,1,0,0
88,1,1,0,1
89,1,2,0,0
90,1,2,0,0
91,1,0,2,0
92,1,2,0,0
93,1,1,1,0
94,1,2,0,0
95,1,2,0,0
96,2,0,0,1
97,0,1,2,0
98,0,2,1,0
99,1,1,1,0
100,2,1,0,0
101,2,1,0,0
102,3,0,0,0
103,3,0,0,0
104,3,0,0,0
105,1,0,1,1
106,2,0,1,0
107,2,1,0,0
108,2,1,0,0
109,0,1,1,1
110,3,0,0,0
111,2,1,0,0
112,2,1,0,0
113,2,1,0,0
114,3,0,0,0
115,0,3,0,0
116,0,1,2,0
117,0,2,1,0
118,0,1,2,0
119,1,1,1,0
120,1,1,1,0
121,0,0,3,0
122,0,3,0,0
123,2,0,1,0
124,1,1,1,0
125,0,2,1,0
126,1,1,1,0
127,1,2,0,0
128,3,0,0,0
129,2,1,0,0
130,2,0,1,0
131,0,2,1,0
132,2,0,1,0
133,1,0,2,0
134,0,1,2,0
135,3,0,0,0
136,1,1,1,0
137,2,1,0,0
138,2,1,0,0
139,1,1,1,0
140,3,0,0,0
141,2,0,1,0
142,2,1,0,0
143,0,1,2,0
144,1,1,1,0
145,2,0,0,1
146,1,1,1,0
147,1,1,0,1
148,1,1,1,0
149,2,0,0,1
150,3,0,0,0
151,0,3,0,0
152,1,2,0,0
153,1,1,1,0
154,2,1,0,0
155,3,0,0,0
156,2,0,0,1
157,3,0,0,0
158,1,1,0,1
159,1,0,2,0
160,2,1,0,0
161,3,0,0,0
162,1,1,1,0
163,0,1,2,0
164,2,0,0,1
165,1,1,1,0
166,1,2,0,0
167,1,1,0,1
168,1,2,0,0
169,1,1,1,0
170,1,2,0,0
171,0,3,0,0
172,1,1,1,0
173,2,0,1,0
174,2,0,1,0
175,1,2,0,0
176,0,2,1,0
177,1,2,0,0
178,2,1,0,0
179,1,2,0,0
180,2,0,1,0
181,1,2,0,0
182,1,1,1,0
183,2,1,0,0
184,2,1,0,0
185,2,0,1,0
186,3,0,0,0
187,1,1,1,0
188,2,0,0,1
189,2,1,0,0
190,0,3,0,0
191,0,2,0,1
192,1,2,0,0
193,0,2,1,0
194,1,1,0,1
195,0,2,1,0
196,2,0,1,0
197,0,1,1,1
198,1,0,2,0
199,1,1,1,0
200,0,2,1,0
201,3,0,0,0
202,3,0,0,0
203,0,3,0,0
204,2,1,0,0
205,2,1,0,0
206,1,1,0,1
207,2,1,0,0
208,0,1,2,0
209,0,0,3,0
210,2,1,0,0
211,1,2,0,0
212,0,1,0,2
213,3,0,0,0
214,0,1,2,0
215,1,1,1,0
216,1,2,0,0
217,3,0,0,0
218,1,1,1,0
219,1,2,0,0
220,1,2,0,0
221,3,0,0,0
222,2,1,0,0
223,1,1,0,1
224,1,1,1,0
225,0,3,0,0
226,2,1,0,0
227,1,0,1,1
228,2,1,0,0
229,2,0,1,0
230,0,3,0,0
231,1,0,1,1
232,0,2,1,0
233,1,1,1,0
234,1,2,0,0
235,1,1,1,0
236,1,0,1,1
237,3,0,0,0
238,2,1,0,0
239,2,1,0,0
240,1,1,0,1
241,2,1,0,0
242,1,2,0,0
243,0,3,0,0
244,2,1,0,0
245,2,1,0,0
246,1,2,0,0
247,1,1,1,0
248,2,1,0,0
249,1,2,0,0
250,1,2,0,0
251,2,1,0,0
252,1,0,1,1
253,3,0,0,0
254,1,1,1,0
255,1,0,2,0
256,0,1,1,1
257,1,0,2,0
258,1,1,1,0
259,2,1,0,0
260,1,2,0,0
261,2,1,0,0
262,2,1,0,0
263,0,3,0,0
264,2,0,1,0
265,0,1,2,0
266,3,0,0,0
